GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
asesores-application/asesores-commons,mx.com.backend.asesores.commons,ConstantesFormatosFecha,38,0,0,0,12,0,2,0,2,0
asesores-application/asesores-commons,mx.com.backend.asesores.commons,Constantes,3,0,0,0,1,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.commons,Messages,40,0,0,0,12,0,2,0,2,0
asesores-application/asesores-commons,mx.com.backend.asesores.commons,EEstatusAsesor,45,0,0,0,10,0,4,0,4,0
asesores-application/asesores-commons,mx.com.backend.asesores.dto,TrAsesorDto,548,0,94,0,3,0,75,0,28,0
asesores-application/asesores-commons,mx.com.backend.asesores.dto,ApplicationEntry.ApplicationEntryBuilder,37,0,0,0,1,0,5,0,5,0
asesores-application/asesores-commons,mx.com.backend.asesores.dto,ErrorDTO,224,0,32,0,8,0,30,0,14,0
asesores-application/asesores-commons,mx.com.backend.asesores.dto,ApplicationEntry,138,0,22,0,4,0,22,0,11,0
asesores-application/asesores-commons,mx.com.backend.asesores.dto,RespuestaErrorPersonalizadaDTO,85,0,14,0,2,0,14,0,7,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionNoAutorizado,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionSinContenido,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionProhibido,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionReglaDeNegocio,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionTiempoDeEspera,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionErrorInternoDelServidor,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionRecursoNoEncontrado,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-commons,mx.com.backend.asesores.exceptions,ExcepcionPeticionIncorrecta,4,0,0,0,2,0,1,0,1,0
asesores-application/asesores-persistence,mx.com.backend.asesores.model,ApplicationItem.ApplicationItemBuilder,50,0,0,0,1,0,6,0,6,0
asesores-application/asesores-persistence,mx.com.backend.asesores.model,TrAsesorEntity,549,0,94,0,14,0,75,0,28,0
asesores-application/asesores-persistence,mx.com.backend.asesores.model,ApplicationItem,185,0,30,0,7,0,28,0,13,0
asesores-application/asesores-services,mx.com.backend.asesores.handler,ManejadorErroresPersonalizado,300,0,0,0,57,0,16,0,16,0
asesores-application/asesores-services,mx.com.backend.asesores.controller,ApplicationController,9,0,0,0,3,0,3,0,3,0
asesores-application/asesores-services,mx.com.backend.asesores.controller,AsesorController,144,0,0,0,38,0,7,0,7,0
asesores-application/asesores-services,mx.com.backend.asesores.service.impl,AsesorServiceImpl,251,0,10,0,66,0,14,0,9,0
asesores-application/asesores-services,mx.com.backend.asesores.service.impl,ApplicationServiceImpl,40,0,0,0,8,0,5,0,5,0
